id_user,nume,prenume,nume_utiz,email,adresa,data_nasterii,cnp,leg,parola,login
NULL,Popa,Aleodor,diaconupetrut,georgescuiosif@kappa.ro,"Drumul Toma
Corabia, 409903",2009-01-23,NULL,NULL,deleniti3715,0
NULL,Aanei,Cristina,dimagabriela,felixmazilescu@acasa.ro,"Aleea Sava Popa Nr. 68
Segarcea, 252985",1998-05-04,NULL,NULL,fugiat6323,1
NULL,Diaconescu,Constantina,predaaida,htabacu@post.ro,"Aleea Cristobal Gheorghiu Nr. 46 Bl. 22  Sc. 22 Ap. 424
Breaza de Sus, 337769",1928-06-16,NULL,NULL,ipsam5257,1
NULL,Tomescu,Laurentia,ynistor,felixgheorghiu@post.ro,"Strada Dochioiu
Alba Iulia, 909491",1965-03-13,NULL,NULL,molestias1608,1
NULL,Diaconescu,Natalia,nistorroberta,tomesculavinia@acasa.ro,"Aleea Pop Nr. 594 Bl. 29  Sc. 68 Ap. 989
Odobesti, 654616",1934-02-22,NULL,NULL,numquam4151,0
NULL,Tomescu,Petruta,naanei,haralambiepuscasu@post.ro,"Strada Jan Ioniță Nr. 632
Medias, 411547",1941-01-27,8281119444862,116122,natus9141,1
NULL,Dima,Horia,onemes,semenicageorgescu@acasa.ro,"Bulevardul Nidia Albu
Slatina, 527588",2004-11-21,NULL,NULL,exercitationem8643,0
NULL,Popa,Traian,voineacleopatra,ystancu@gmail.com,"Bulevardul Tudor Nr. 292
Valea Mare (Babeni), 488566",1956-10-09,NULL,NULL,eum1581,1
NULL,Mocanu,Serban,csuciu,mitrutdinu@zzup.ro,"Aleea Gheorghiu Nr. 595 Bl. 15  Sc. 66 Ap. 363
Arad, 667479",1910-09-28,NULL,NULL,perspiciatis2111,0
NULL,Ene,Nicoleta,puscasugiorgiana,stanion@kappa.ro,"Soseaua Niță
Nadlac, 661943",1944-12-16,NULL,NULL,facere3943,1
NULL,Nita,Sonia,manoleaugustina,iustinaionita@141.ro,"Aleea Cristea Nr. 696
Dragasani, 859359",1958-01-10,7240302377619,315509,itaque1297,1
NULL,Nistor,Catrina,mazilescuseverina,albertinaeftimie@141.ro,"Aleea Ene Nr. 257
Covasna, 582341",1909-06-23,NULL,NULL,quia9290,0
NULL,Manole,Vicentia,dinuaurelian,vpreda@acasa.ro,"Soseaua Florea
Slobozia, 404617",1969-08-22,NULL,NULL,laborum2341,0
NULL,Ionita,Margareta,gherghinapopa,voineapamfil@kappa.ro,"Bulevardul Manole Nr. 33
Cugir, 790183",1978-12-24,NULL,NULL,qui1159,0
NULL,Ionita,Eusebia,cdochioiu,stoicaionica@kappa.ro,"Strada Gheorghiu
Alesd, 582679",1913-02-01,NULL,NULL,facere7717,1
NULL,Dima,Zoe,omanole,tabacualice@gmail.com,"Drumul Georgiana Diaconescu
Raducaneni, 795990",1929-06-06,NULL,NULL,culpa1158,0
NULL,Mocanu,Camelia,anghelinacristea,diaconescuariana@email.ro,"Strada Tudorița Nistor
Vulcan, 360122",1989-11-15,NULL,NULL,pariatur9765,1
NULL,Florea,Antonela,mariaene,ddiaconescu@post.ro,"Drumul Todor Toma
Videle, 692133",1945-10-05,NULL,NULL,non4244,0
NULL,Dinu,Sever,hoprea,ardeleanoctav@141.ro,"Aleea Dobre Nr. 700
Remetea, 365763",1936-11-21,NULL,NULL,consequuntur2125,0
NULL,Pop,Teea,floreavasilica,mara63@acasa.ro,"Intrarea Nistor Nr. 77 Bl. 96  Sc. 56 Ap. 126
Strejnicu, 933147",1948-03-05,NULL,NULL,nulla8562,0
NULL,Dochioiu,Teodora,tomescudumitru,diaconueleonora@zzup.ro,"Intrarea Dinu Nr. 71
Blaj, 285142",1963-07-06,NULL,NULL,repellat4295,1
NULL,Marin,Toma,petrut35,anistor@zzup.ro,"Intrarea Stancu Nr. 86 Bl. 67  Sc. 29 Ap. 903
Bacau, 624039",2018-08-01,NULL,NULL,deserunt2217,0
NULL,Mocanu,Valeriu,floramarin,salbu@acasa.ro,"Strada Gheorghiu
Draganesti-Olt, 828018",1975-03-25,NULL,NULL,minima2222,1
NULL,Ionita,Ernest,wionescu,hstanescu@kappa.ro,"Intrarea Dorel Mocanu Nr. 57 Bl. 33  Sc. 27 Ap. 222
Poiana Mare, 519068",1995-06-18,NULL,NULL,voluptatibus6787,0
NULL,Tabacu,Carina,mazilescueufrosina,martin99@acasa.ro,"Drumul Mocanu Nr. 761 Bl. 49  Sc. 72 Ap. 693
Poienile de sub Munte, 967235",1943-05-14,NULL,NULL,iste2236,0
NULL,Tomescu,Constanta,diaconescuanghelina,tomamelania@acasa.ro,"Strada Ilinca Stan Nr. 371 Bl. 59  Sc. 21 Ap. 843
Remetea, 180726",1955-07-23,NULL,NULL,hic8279,0
NULL,Manole,Iosefina,ioaninaeftimie,predavictor@zzup.ro,"Strada Amanda Dumitrescu Nr. 917
Pipera (Voluntari), 868770",1945-06-05,NULL,NULL,natus2814,1
